iter	Passed	Remaining
962	25527	27489
963	25546	27454
964	25588	27444
965	25606	27408
966	25647	27398
967	25668	27365
968	25698	27342
969	25723	27314
970	25760	27299
971	25793	27279
972	25841	27275
973	25867	27248
974	25908	27236
975	25943	27219
976	25980	27203
977	25999	27168
978	26024	27140
979	26043	27106
980	26072	27082
981	26096	27053
982	26125	27029
983	26151	27001
984	26190	26988
985	26209	26953
986	26229	26920
987	26252	26890
988	26278	26863
989	26300	26832
990	26332	26811
991	26354	26779
992	26396	26768
993	26413	26732
994	26435	26701
995	26456	26669
996	26485	26644
997	26519	26625
998	26546	26599
999	26575	26575
1000	26615	26562
1001	26634	26528
1002	26657	26497
1003	26675	26462
1004	26701	26436
1005	26725	26407
1006	26747	26375
1007	26771	26346
1008	26810	26332
1009	26827	26295
1010	26852	26268
1011	26878	26241
1012	26901	26210
1013	26919	26176
1014	26945	26148
1015	26963	26114
1016	27011	26108
1017	27029	26073
1018	27055	26046
1019	27072	26010
1020	27095	25980
1021	27113	25946
1022	27140	25919
1023	27156	25883
1024	27194	25867
1025	27219	25840
1026	27255	25822
1027	27282	25796
1028	27312	25773
1029	27333	25741
1030	27370	25724
1031	27388	25689
1032	27411	25660
1033	27430	25626
1034	27458	25601
1035	27481	25571
1036	27508	25545
1037	27526	25511
1038	27564	25495
1039	27581	25460
1040	27607	25432
1041	27627	25400
1042	27649	25370
1043	27668	25336
1044	27691	25306
1045	27708	25271
1046	27731	25241
1047	27748	25206
1048	27788	25192
1049	27806	25158
1050	27825	25125
1051	27845	25092
1052	27872	25067
1053	27890	25032
1054	27911	25001
1055	27931	24969
1056	27952	24937
1057	27969	24903
1058	28018	24896
1059	28037	24863
1060	28057	24831
1061	28075	24797
1062	28096	24766
1063	28116	24733
1064	28137	24703
1065	28155	24669
1066	28176	24637
1067	28193	24603
1068	28232	24587
1069	28251	24555
1070	28274	24525
1071	28294	24493
1072	28317	24464
1073	28339	24434
1074	28361	24403
1075	28379	24370
1076	28418	24354
1077	28435	24320
1078	28457	24290
1079	28476	24257
1080	28497	24226
1081	28514	24192
1082	28537	24163
1083	28556	24130
1084	28576	24098
1085	28594	24066
1086	28637	24052
1087	28660	24024
1088	28693	24003
1089	28723	23979
1090	28760	23962
1091	28789	23938
1092	28838	23931
1093	28860	23900
1094	28887	23874
1095	28908	23844
1096	28935	23818
1097	28961	23791
1098	29013	23786
1099	29032	23754
1100	29053	23722
1101	29070	23688
1102	29093	23660
1103	29113	23628
1104	29134	23597
1105	29154	23566
1106	29174	23534
1107	29196	23505
1108	29238	23490
1109	29256	23457
1110	29277	23427
1111	29296	23394
1112	29314	23361
1113	29333	23330
1114	29356	23300
1115	29376	23269
1116	29396	23238
1117	29417	23207
1118	29464	23197
1119	29490	23170
1120	29518	23145
1121	29544	23119
1122	29579	23100
1123	29616	23081
1124	29700	23100
1125	29730	23077
1126	29773	23062
1127	29797	23034
1128	29835	23017
1129	29856	22986
1130	29885	22962
1131	29909	22934
1132	29934	22906
1133	29956	22876
1134	29978	22847
1135	29995	22813
1136	30033	22796
1137	30050	22762
1138	30071	22731
1139	30087	22697
1140	30105	22664
1141	30124	22632
1142	30147	22603
1143	30167	22572
1144	30187	22541
1145	30206	22509
1146	30249	22495
1147	30277	22470
1148	30308	22448
1149	30335	22422
1150	30367	22399
1151	30391	22371
1152	30428	22353
1153	30449	22322
1154	30471	22292
1155	30488	22259
1156	30513	22232
1157	30533	22201
1158	30559	22174
1159	30581	22144
1160	30621	22128
1161	30640	22096
1162	30661	22066
1163	30678	22033
1164	30699	22003
1165	30717	21971
1166	30743	21944
1167	30768	21917
1168	30814	21905
1169	30841	21878
1170	30873	21856
1171	30898	21829
1172	30928	21805
1173	30951	21776
1174	30997	21763
1175	31021	21736
1176	31060	21718
1177	31085	21691
1178	31112	21664
1179	31131	21633
1180	31195	21633
1181	31213	21601
1182	31244	21577
1183	31262	21545
1184	31290	21520
1185	31311	21490
1186	31335	21462
1187	31359	21434
1188	31401	21418
1189	31422	21388
1190	31443	21358
1191	31462	21326
1192	31484	21297
1193	31503	21266
1194	31527	21238
1195	31544	21205
1196	31565	21175
1197	31584	21144
1198	31629	21130
1199	31651	21101
1200	31689	21082
1201	31716	21056
1202	31741	21029
1203	31766	21002
1204	31814	20989
1205	31841	20963
1206	31866	20936
1207	31896	20912
1208	31932	20892
1209	31956	20864
1210	32036	20872
1211	32058	20843
1212	32089	20819
1213	32114	20792
1214	32145	20768
1215	32175	20744
1216	32201	20718
1217	32223	20688
1218	32275	20678
1219	32298	20649
1220	32324	20622
1221	32344	20592
1222	32371	20566
1223	32392	20536
1224	32419	20510
1225	32447	20484
1226	32504	20477
1227	32522	20445
1228	32546	20417
1229	32564	20385
1230	32589	20358
1231	32610	20328
1232	32635	20300
1233	32658	20272
1234	32696	20253
1235	32714	20221
1236	32741	20195
1237	32766	20167
1238	32786	20137
1239	32805	20106
1240	32827	20077
1241	32846	20046
1242	32882	20025
1243	32899	19993
1244	32920	19963
1245	32944	19936
1246	32967	19907
1247	32985	19875
1248	33006	19846
1249	33023	19813
1250	33044	19784
1251	33062	19752
1252	33103	19735
1253	33123	19705
1254	33145	19675
1255	33164	19644
1256	33186	19616
1257	33204	19584
1258	33225	19554
1259	33242	19523
1260	33266	19495
1261	33284	19464
1262	33323	19445
1263	33342	19414
1264	33365	19386
1265	33385	19356
1266	33412	19330
1267	33435	19301
1268	33463	19276
1269	33489	19249
1270	33543	19239
1271	33562	19208
1272	33587	19181
1273	33607	19151
1274	33638	19127
1275	33661	19099
1276	33689	19074
1277	33714	19047
1278	33758	19030
1279	33781	19002
1280	33803	18973
1281	33821	18942
1282	33844	18913
1283	33863	18883
1284	33886	18854
1285	33910	18827
1286	33952	18809
1287	33976	18782
1288	34008	18758
1289	34031	18730
1290	34065	18708
1291	34099	18686
1292	34145	18670
1293	34168	18642
1294	34205	18621
1295	34229	18593
1296	34260	18570
1297	34285	18542
1298	34347	18535
1299	34376	18510
1300	34407	18486
1301	34448	18467
1302	34494	18451
1303	34520	18424
1304	34550	18400
1305	34578	18374
1306	34609	18350
1307	34634	18323
1308	34677	18305
